name
I."ENST00000498666";21_46323280_46323450-242=171=181//P05107
I."ENST00000307954";5_131046271_131046354-72=84=92//Q8TF40
I."ENST00000307968";5_131066597_131066731-101=135=127//Q8TF40
I."ENST00000349466";X_152811546_152811587-126=42=165//Q16720
I."ENST00000423381";10_75585037_75585105-45=69=33//Q923T9
I."ENST00000322635";10_75587847_75587879-45=33=44//P11730
I."ENST00000322635";10_75599297_75599359-44=63=43//P11730
I."ENST00000507069";4_46334632_46334699-221=68=116//Q5RCC5
I."ENST00000493815";5_176916772_176916833-235=62=37//Q9NR12
I."ENST00000493815";5_176918405_176918421-137=17=119//Q3SX40
I."ENST00000373542";X_71840575_71840751-92=177=167//P46020
I."ENST00000393128";12_93870730_93870793-164=64=85//Q9Y6G3
I."ENST00000558420";15_99669572_99672018-71=2447=2834//O15061
I."ENST00000565918";18_66377258_66377381-46=124=40//Q5R875
I."ENST00000489332";X_70462020_70462274-118=255=115//Q14202
I."ENST00000523485";14_102698044_102698158-201=115=174//Q9UQ07
I."ENST00000535915";19_11231046_11231198-142=153=171//P01130
I."ENST00000344698";1_233160892_233161145-234=254=216//A6NKB5
I."ENST00000375221";2_173335702_173335833-256=132=117//P23229
I."ENST00000545689";X_107407830_107407928-147=99=162//Q14031
I."ENST00000356483";19_49458805_49458856-34=52=147//Q07812
I."ENST00000356483";19_49463496_49463593-136=98=105//Q07812
I."ENST00000356483";19_49458944_49459090-52=147=136//Q07812
I."ENST00000380230";15_65236849_65236944-99=96=190//Q495B1
I."ENST00000375224";1_19421400_19421519-191=120=108//Q5T4S7
I."ENST00000245541";17_73239144_73239247-81=104=124//Q9NZ52
I."ENST00000245541";17_73240700_73240798-124=99=76//Q9NZ52
I."ENST00000537584";17_73244921_73245089-85=169=53//Q8BMI3
I."ENST00000414043";17_4885384_4885455-154=72=136//O94983
I."ENST00000572543";17_4885384_4885470-154=87=136//Q80Y50
I."ENST00000574951";17_4885384_4885522-154=139=136//O94983
I."ENST00000414043";17_4872795_4872815-188=21=72//O94983
I."ENST00000394378";17_35930736_35930984-134=249=197//Q9UMZ2
I."ENST00000397957";11_113092018_113092047-143=30=151//P13596
I."ENST00000424560";15_72311380_72311436-98=57=100//B2RTY4
I."ENST00000464261";11_3832480_3832654-22=175=253//Q9UHJ9
I."ENST00000403078";1_161558212_161558232-239=21=258//P31994
I."ENST00000367960";1_161645047_161645103-114=57=38//P31994
I."ENST00000409904";7_31013600_31013753-133=154=61//Q02643
I."ENST00000420646";4_90749294_90749335-143=42=146//P61146
I."ENST00000391905";1_210522277_210522410-199=134=68//Q5VTY9
I."ENST00000406859";2_50848364_50848387-162=24=302//Q9ULB1
I."ENST00000402717";2_50282093_50282182-320=90=172//Q63373
I."ENST00000472229";6_30592660_30592719-67=60=894//Q9Y676
I."ENST00000319471";4_186605908_186606000-27=93=140//Q3UTJ2
I."ENST00000261201";12_22035700_22035807-73=108=109//O60706
I."ENST00000279544";12_9985899_9986048-99=150=143//Q9NZS2
I."ENST00000402363";1_46072993_46074009-110=1017=80//P49321
I."ENST00000502330";4_167713321_167713440-222=120=115//Q5RD69
I."ENST00000502330";4_167983793_167983801-46=9=189//Q9BQ16
I."ENST00000418391";16_90015825_90015921-20=97=134//Q6ZN54
I."ENST00000418391";16_90020651_90020784-97=134=98//Q6ZN54
I."ENST00000359726";21_27277336_27277389-101=54=222//Q95241
I."ENST00000470476";10_120094908_120094938-100=31=88//Q5R939
I."ENST00000358371";2_135743370_135745823-150=2454=44//Q56UN5
I."ENST00000375844";2_135741246_135741395-698=150=44//Q56UN5
I."ENST00000528977";11_64814947_64815037-82=91=92//Q9UQQ1
I."ENST00000485640";1_110199334_110199409-79=76=65//Q03013
I."ENST00000354749";21_38466305_38466390-121=86=95//P53804
I."ENST00000531164";11_113200642_113200701-122=60=72//Q9H892
I."ENST00000529850";11_113186965_113187037-36=73=164//Q9H892
I."ENST00000481533";6_34215244_34215269-106=26=184//Q86T20
I."ENST00000437807";17_80405456_80405497-74=42=123//Q9BQA9
I."ENST00000437807";17_80404499_80404572-97=74=42//Q9BQA9
I."ENST00000343495";7_13975333_13975521-248=189=130//P50549
I."ENST00000399357";7_14017052_14017105-130=54=399//P50549
I."ENST00000325897";8_62212236_62212841-167=606=175//Q8IUQ0
I."ENST00000487838";3_158306641_158306713-87=73=148//P58340
I."ENST00000397909";12_78571400_78571465-173=66=154//Q8IVL0
I."ENST00000357570";1_181762801_181762929-112=129=181//Q15878
I."ENST00000367567";1_181700311_181700367-98=57=651//Q15878
I."ENST00000540270";12_18838424_18838592-150=169=130//Q86YW0
I."ENST00000359152";11_85422156_85422275-170=120=95//Q9HCH5
I."ENST00000391815";19_51010831_51010956-195=126=163//Q8TAC2
I."ENST00000395895";10_35464781_35464927-124=147=98//Q03060
I."ENST00000395895";10_35490379_35490414-189=36=157//Q03060
I."ENST00000395895";10_35426710_35426807-108=98=124//Q03060
I."ENST00000423870";20_13839908_13840080-129=173=75//Q5TEA6
I."ENST00000423870";20_13845995_13846160-75=166=149//Q5TEA6
I."ENST00000474771";1_215297976_215298093-311=118=161//O95069
I."ENST00000527060";1_54371768_54371967-144=200=179//P49895
I."ENST00000355394";10_27044584_27044670-186=87=177//Q8IZP0
I."ENST00000376134";10_27047991_27048167-87=177=101//Q9QZM5
I."ENST00000376137";10_27044584_27044670-186=87=101//Q8IZP0
I."ENST00000355394";10_27052809_27052889-177=81=101//Q8IZP0
I."ENST00000376142";10_27044584_27044670-186=87=177//Q8IZP0
I."ENST00000376142";10_27052809_27052889-177=81=101//Q8IZP0
I."ENST00000376138";10_27060004_27060018-101=15=177//Q8IZP0
I."ENST00000376160";10_27044584_27044670-186=87=174//Q8IZP0
I."ENST00000284694";10_128153265_128153555-185=291=1129//Q96M02
I."ENST00000238018";9_74838036_74838143-28=108=108//Q9Y2T3
I."ENST00000572272";17_5440171_5440260-92=90=171//Q9C000
I."ENST00000354411";17_5424201_5424332-142=132=263//Q9C000
I."ENST00000369839";10_105145083_105145247-130=165=178//Q15542
I."ENST00000373956";10_55588325_55588333-156=9=219//Q96QU1
I."ENST00000373956";10_55849744_55849823-94=80=133//Q96QU1
I."ENST00000414447";9_36882001_36882102-87=102=130//Q02548
I."ENST00000377847";9_37014994_37015191-65=198=166//Q02650
I."ENST00000377847";9_37002645_37002773-176=129=65//Q02650
I."ENST00000377847";9_37020633_37020798-198=166=46//Q02548
I."ENST00000523303";8_28704264_28704326-140=63=61//Q9NV88
I."ENST00000383820";3_9883883_9883927-100=45=137//Q6P087
I."ENST00000453551";8_144902836_144902886-162=51=90//Q2HJG2
I."ENST00000354397";19_7811346_7811417-570=72=60//Q9NNX6
I."ENST00000542664";13_47469630_47470369-201=740=361//Q5R4Q6
I."ENST00000318218";5_156723500_156723500-77=1=102//Q5R414
I."ENST00000318218";5_156749950_156750024-148=75=154//Q96F07
I."ENST00000394624";7_89861651_89861798-165=148=718//Q8NFT2
I."ENST00000581043";18_21882353_21882715-107=363=82//Q9BXW6
I."ENST00000578091";18_21948331_21948336-112=6=123//Q9BXW6
I."ENST00000556339";14_92560090_92560175-67=86=45//O35815
I."ENST00000553488";14_92559596_92559662-88=67=45//O35815
I."ENST00000556339";14_92563018_92563182-45=165=46//P54252
I."ENST00000555958";14_92559596_92559662-88=67=86//O35815
I."ENST00000554214";14_92555074_92555161-133=88=67//P54252
I."ENST00000554040";14_92547309_92547405-116=97=133//P54252
I."ENST00000553488";14_92548644_92548810-97=167=133//P54252
I."ENST00000370597";10_99642543_99642585-144=43=146//Q9NQ79
I."ENST00000413513";17_61566302_61566493-144=192=98//Q9GLN7
I."ENST00000579314";17_61573755_61573877-99=123=188//Q9GLN7
I."ENST00000450939";22_41609897_41610030-238=134=124//Q5R737
I."ENST00000449635";22_41615423_41615540-80=118=135//Q5R737
I."ENST00000357895";18_56002710_56002769-75=60=132//Q96PU5
I."ENST00000354212";7_77814946_77814987-92=42=190//Q86UL8
I."ENST00000574832";17_80676320_80676447-175=128=152//Q9HA64
I."ENST00000574832";17_80680680_80680762-92=83=123//Q9HA64
I."ENST00000539718";17_41930280_41930381-336=102=238//Q6UXG3
I."ENST00000558164";15_38793344_38793488-37=145=110//O95267
I."ENST00000450598";15_38786583_38786968-135=386=153//O95267
I."ENST00000459818";17_26817325_26817386-129=62=137//Q13183
I."ENST00000405198";22_29735743_29735763-144=21=202//Q10567
I."ENST00000357382";14_90429452_90430017-223=566=44//Q9NUW8
I."ENST00000541785";11_117860157_117860335-121=179=170//Q13651
I."ENST00000344321";2_218937502_218937608-126=107=144//Q6ZNE9
I."ENST00000277549";9_140944527_140944538-107=12=97//O55017
I."ENST00000277551";9_140964210_140964215-84=6=117//Q00975
I."ENST00000433343";2_114228610_114228666-45=57=52//A6NM15
I."ENST00000484663";16_30128475_30128606-110=132=115//P27361
I."ENST00000519735";8_42146152_42146246-123=95=118//O14920
I."ENST00000520835";8_42177103_42177164-152=62=110//O14920
I."ENST00000519735";8_42129601_42129723-152=123=95//O14920
I."ENST00000371949";1_47040619_47040692-105=74=80//Q9BUB5
I."ENST00000295314";1_151143909_151144016-144=108=131//Q9NZQ9
I."ENST00000373740";20_35399276_35399380-74=105=49//Q9H410
I."ENST00000558521";15_85189204_85189316-368=113=165//Q6P4I2
I."ENST00000558521";15_85191768_85191856-65=89=89//Q6P4I2
I."ENST00000395645";17_18872655_18872735-106=81=206//A0PJK1
I."ENST00000377387";11_64540902_64540977-153=76=129//Q15637
I."ENST00000318312";11_66283011_66283057-273=47=39//Q8NFJ9
I."ENST00000523409";8_59343078_59343228-104=151=84//Q14CS0
I."ENST00000523409";8_59347417_59347507-110=91=138//Q14CS0
I."ENST00000452360";4_945470_945505-52=36=84//Q9BSA9
I."ENST00000546231";12_1372200_1372331-136=132=161//Q8IUD2
I."ENST00000311966";12_56868828_56868894-51=67=59//Q9UI32
I."ENST00000311966";12_56872836_56872965-80=130=122//Q9UI32
I."ENST00000472090";10_42922645_42922701-120=57=36//Q5T2Q4
I."ENST00000483242";10_42916211_42916377-163=167=120//Q5T2Q4
I."ENST00000545196";12_9994901_9995032-150=132=240//Q9NZS2
I."ENST00000307518";10_99342072_99342170-99=99=99//Q9GZV1
I."ENST00000464622";6_121545509_121545597-117=89=119//Q96NH3
I."ENST00000514178";5_114557521_114557705-109=185=46//P53610
I."ENST00000596651";19_49950595_49950677-76=83=82//Q9NWS0
I."ENST00000262265";19_49950595_49950724-76=130=82//Q9NWS0
I."ENST00000598889";19_49950595_49950674-76=80=82//Q9NWS0
I."ENST00000367071";21_48020195_48020288-542=94=139//Q6YNR6
I."ENST00000346501";11_862550_862741-80=192=75//Q5RAP3
I."ENST00000267383";14_23521179_23521292-122=114=137//Q86UP0
I."ENST00000420434";2_231110578_231110655-93=78=150//Q13342
I."ENST00000347968";18_47799704_47799841-132=138=300//Q9UIS9
I."ENST00000339998";18_47801347_47801415-168=69=117//Q9UIS9
I."ENST00000339998";18_47800556_47800723-300=168=69//Q9UIS9
I."ENST00000508693";4_62894573_62894599-92=27=169//Q80TS3
I."ENST00000420054";1_54651854_54651959-105=106=88//Q6IPT4
I."ENST00000350057";12_69218335_69218431-68=97=161//Q00987
I."ENST00000496959";12_69207334_69207408-81=75=68//Q00987
I."ENST00000350057";12_69222551_69222711-97=161=156//Q00987
I."ENST00000393410";12_69207334_69207408-81=75=576//Q00987
I."ENST00000299252";12_69207334_69207408-81=75=156//Q00987
I."ENST00000540352";12_69207334_69207408-81=75=134//Q00987
I."ENST00000473581";X_48838207_48838284-96=78=114//Q4V328
I."ENST00000397180";X_46949175_46949390-183=216=132//Q15493
I."ENST00000340309";20_48713209_48713357-126=149=470//Q90879
I."ENST00000371677";20_48713209_48713357-126=149=137//Q90879
I."ENST00000326165";17_72694508_72694620-23=113=64//Q8TDQ1
I."ENST00000469092";17_72701343_72701516-339=174=155//Q8TDQ1
I."ENST00000397049";7_2282560_2282683-35=124=164//P36639
I."ENST00000446046";2_216245534_216245803-188=270=114//P02751
I."ENST00000355524";19_55386786_55386821-44=36=291//P24071
I."ENST00000309720";X_119419480_119419551-89=72=69//Q9BE63
I."ENST00000498502";3_152164493_152164546-258=54=154//Q9NR56
I."ENST00000357472";3_152173331_152173366-154=36=75//Q9JKP5
I."ENST00000357472";3_152150506_152150709-171=204=258//Q9NR56
I."ENST00000585513";19_55880137_55880309-87=173=160//P20809
I."ENST00000417454";19_55536586_55536639-60=54=285//Q9HCN6
I."ENST00000590160";19_44530178_44530238-125=61=127//Q9UK12
I."ENST00000395282";4_83891480_83891622-217=143=684//Q6MZP7
I."ENST00000369598";1_114280732_114280890-157=159=70//Q9UMS5
I."ENST00000369600";1_114267381_114267515-160=135=157//Q9UMS5
I."ENST00000416383";12_27628515_27628664-128=150=88//A6NFE2
I."ENST00000585562";17_40272048_40272137-45=90=146//Q9JHD2
I."ENST00000592574";17_40272724_40272847-146=124=123//Q9JHD2
I."ENST00000543673";11_83641371_83641526-69=156=139//Q15700
I."ENST00000511188";4_77018797_77018829-37=33=33//Q13508
I."ENST00000360682";11_57573933_57573950-154=18=69//O60716
I."ENST00000360682";11_57583387_57583473-107=87=2883//O60716
I."ENST00000361796";11_57581783_57581845-88=63=107//O60716
I."ENST00000536633";8_124204043_124204210-1311=168=125//Q86UY5
I."ENST00000525266";8_146054863_146054989-48=127=117//Q5RBX0
I."ENST00000446747";8_146054830_146054989-48=160=117//Q5RBX0
I."ENST00000373190";20_40864869_40864898-149=30=136//O14522
I."ENST00000356100";20_40899037_40899093-136=57=37//Q99M80
I."ENST00000394069";16_66884444_66884562-198=119=96//P43166
I."ENST00000525674";6_133072284_133072657-171=374=193//O95498
I."ENST00000532053";6_133072284_133072417-171=134=193//O95498
I."ENST00000366937";1_216880701_216880828-416=128=210//P62510
I."ENST00000397255";10_6008108_6008302-99=195=88//Q13261
I."ENST00000397255";10_6005706_6005804-201=99=195//Q13261
I."ENST00000360796";11_62458752_62458893-67=142=98//Q96G97
I."ENST00000333479";12_123028706_123028816-35=111=94//P50748
I."ENST00000374722";10_35464781_35464927-120=147=98//Q03060
I."ENST00000429130";10_35490379_35490414-189=36=157//Q03060
I."ENST00000521080";8_95503806_95504137-144=332=167//Q69YN4
I."ENST00000495368";10_12184432_12184564-66=133=79//Q8AY36
I."ENST00000270361";2_241536098_241536359-203=262=200//Q9HC96
I."ENST00000287380";8_124154502_124154696-141=195=139//Q96DN5
I."ENST00000436344";17_39086192_39086348-162=157=83//Q9C075
I."ENST00000358282";10_17203482_17203547-70=66=110//O14717
I."ENST00000454514";16_30490412_30490529-68=118=146//P20701
I."ENST00000358671";1_161640042_161640062-193=21=258//P31994
I."ENST00000520002";8_2875999_2876172-174=174=195//Q96PZ7
I."ENST00000352189";5_135601908_135602124-234=217=778//Q9HCX4
I."ENST00000352189";5_135601908_135602124-234=217=778//Q9HCX4
I."ENST00000444905";7_99454456_99454522-138=67=161//Q9HB55
I."ENST00000415413";7_99461160_99461322-227=163=140//Q9HB55
I."ENST00000415413";7_99434076_99434169-138=94=67//Q9HB55
I."ENST00000495115";7_99459236_99459462-161=227=140//Q9HB55
I."ENST00000303045";8_139691860_139691919-78=60=45//Q8NFW1
I."ENST00000586021";19_20026089_20026215-146=127=96//P35789
I."ENST00000461105";10_103588146_103588216-108=71=70//Q9NS61
I."ENST00000562214";16_78142320_78142384-230=65=58//Q91WL8
I."ENST00000539474";16_78790837_78790912-179=76=1060//Q9NZC7
I."ENST00000343210";1_113124614_113124728-73=115=98//Q8TDW4
I."ENST00000451613";4_57244314_57244630-193=317=121//Q4L235
I."ENST00000263335";2_113984732_113984833-87=102=176//Q06710
I."ENST00000378288";1_3646564_3646712-122=149=139//O15350
I."ENST00000378280";1_3648027_3648120-139=94=546//O15350
I."ENST00000444935";11_116655815_116655862-67=48=123//O75312
I."ENST00000429220";11_116652874_116652960-66=87=111//O75312
I."ENST00000324458";12_13240841_13240993-112=153=48//Q2KHT4
I."ENST00000359282";12_53861589_53861627-73=39=56//Q61990
I."ENST00000423662";11_129799305_129799316-348=12=243//Q9NQV6
I."ENST00000222382";7_99461157_99461322-227=166=96//Q9HB55
I."ENST00000481362";7_99461160_99461322-227=163=96//Q9HB55
I."ENST00000222382";7_99453214_99453341-149=128=67//Q9HB55
I."ENST00000497792";10_118353828_118354376-126=549=109//P54315
I."ENST00000329956";16_67375860_67375987-89=128=193//Q1X8D7
I."ENST00000397147";22_37260087_37260171-216=85=154//Q15080
I."ENST00000537368";12_124123811_124123890-44=80=107//Q13889
I."ENST00000554975";12_57625264_57625343-198=80=201//P34897
I."ENST00000505975";5_74889703_74889874-97=172=957//Q9UBT6
I."ENST00000433067";21_43279140_43279337-154=198=94//P57071
I."ENST00000449395";21_43254614_43254673-116=60=88//P57071
I."ENST00000331105";19_41622083_41622264-61=182=163//P24903
I."ENST00000531409";19_41622080_41622264-61=185=163//P24903
I."ENST00000538326";16_3304158_3304790-350=633=317//O15553
I."ENST00000392518";19_50204574_50204675-172=102=138//Q8TCG5
I."ENST00000389632";1_6101891_6101932-129=42=44//P62483
I."ENST00000436318";11_26584663_26584812-2193=150=732//Q8N387
I."ENST00000483151";6_33263805_33264102-252=298=51//O15211
I."ENST00000373213";6_39314252_39314302-90=51=98//Q6ZMV9
I."ENST00000359972";12_99119193_99119318-126=126=144//O14727
I."ENST00000509560";4_39196164_39196279-126=116=116//Q8NEZ3
I."ENST00000374240";10_48798645_48798739-98=95=157//Q4JDL3
I."ENST00000395668";10_48798645_48798739-98=95=64//Q4JDL3
I."ENST00000527372";17_27412622_27412666-123=45=140//Q92614
I."ENST00000527372";17_27420998_27421108-105=111=201//Q92614
I."ENST00000371122";X_128627017_128627052-153=36=122//P28370
I."ENST00000473839";9_69247522_69247581-38=60=92//Q4V339
I."ENST00000445961";19_54710421_54710592-187=172=250//P29314
I."ENST00000446921";11_116738662_116738805-151=144=71//Q6P4S6
I."ENST00000415541";11_116746582_116746725-78=144=111//Q9Y2K2
I."ENST00000415541";11_116820849_116820972-162=124=64//Q9Y2K2
I."ENST00000350532";17_37947669_37947836-117=168=261//Q9UKT9
I."ENST00000467757";17_37933904_37934020-704=117=117//Q9UKT9
I."ENST00000334652";1_93683295_93683426-111=132=135//Q5T9S5
I."ENST00000437522";2_175982718_175982846-179=129=119//P16951
I."ENST00000564309";15_66801084_66801230-92=147=96//Q5RA78
I."ENST00000463519";1_249150487_249150621-222=135=49//Q9BU19
I."ENST00000367057";1_207649579_207649764-393=186=186//P20023
I."ENST00000472329";6_9903606_9903674-164=69=87//Q8IZS5
I."ENST00000590526";19_45991895_45991964-47=70=139//O75298
I."ENST00000393357";1_114280732_114280890-157=159=70//Q9UMS5
I."ENST00000414302";6_133047861_133048151-374=291=131//Q9NY84
I."ENST00000427187";6_133049880_133050072-374=193=131//Q9NY84
I."ENST00000275223";6_133049880_133050118-374=239=131//Q9NY84
I."ENST00000392393";6_133047861_133047977-374=117=239//Q9NY84
I."ENST00000448323";4_83763293_83763634-59=342=124//O94979
I."ENST00000341377";8_32599526_32599593-130=68=59//Q02297
I."ENST00000287845";8_32607079_32607102-59=24=103//Q05199
I."ENST00000341723";7_92826686_92826710-38=25=126//A8MVW5
I."ENST00000508560";4_46973100_46973252-260=153=144//P48169
I."ENST00000527417";6_26368406_26368495-61=90=348//P78410
I."ENST00000540236";1_164789309_164789421-160=113=90//P41778
I."ENST00000367897";1_164781227_164781386-136=160=90//B4F6V6
I."ENST00000399165";10_70644016_70644215-153=200=472//Q6ZVD7
I."ENST00000395813";5_96064857_96064913-42=57=114//P20810
I."ENST00000359176";5_96062498_96062563-60=66=42//P49342
I."ENST00000359176";5_96076449_96076487-81=39=93//P49342
I."ENST00000432686";6_145148484_145148522-137=39=66//P46939
I."ENST00000395469";5_121758563_121759434-73=872=180//Q9Y6H5
I."ENST00000466900";3_37047352_37047457-74=106=73//P40692
I."ENST00000488470";3_170824972_170824995-185=24=98//Q9UKE5
I."ENST00000284483";3_170846503_170846667-240=165=189//Q9UKE5
I."ENST00000335742";4_169798874_169799545-343=672=136//Q8WX93
I."ENST00000398101";3_127429419_127429508-216=90=111//Q99685
I."ENST00000373013";9_130912830_130912835-137=6=80//P80188
I."ENST00000328236";5_122758644_122758724-157=81=84//Q8N960
I."ENST00000555236";9_112924374_112924412-179=39=99//O54931
I."ENST00000497531";3_17469942_17470011-109=70=132//Q92609
I."ENST00000392259";2_202137621_202137665-139=45=142//Q14790
I."ENST00000361874";2_74603869_74603889-18=21=35//Q14203
I."ENST00000551899";12_69979531_69979789-65=259=75//Q5XIM9
I."ENST00000368913";1_151110462_151110581-89=120=91//Q9H3T2
I."ENST00000358537";3_58135832_58135954-153=123=267//O75369
I."ENST00000357272";3_58127585_58127656-248=72=103//O75369
I."ENST00000568195";1_25633087_25633220-138=134=80//Q02161
I."ENST00000568195";1_25643491_25643570-134=80=314//Q02161
I."ENST00000445537";12_15713127_15713210-69=84=36//Q16827
I."ENST00000375999";1_15650948_15651055-105=108=84//B1AJZ9
I."ENST00000375999";1_15675538_15675645-108=108=108//B1AJZ9
I."ENST00000324134";19_54301497_54301667-171=171=171//P59046
I."ENST00000360698";15_66411424_66411524-93=101=102//A6BM72
I."ENST00000360698";15_66420644_66420749-102=106=133//A6BM72
I."ENST00000567107";15_23689618_23689647-51=30=129//Q8N9W4
I."ENST00000556712";14_35077236_35077346-122=111=105//Q5R613
I."ENST00000225792";17_62500340_62500436-134=97=166//A5A6J2
I."ENST00000356955";1_155033891_155033965-70=75=72//Q13444
I."ENST00000228264";12_31242337_31242424-108=88=209//Q96FC9
I."ENST00000370721";1_82407718_82407729-110=12=801//O97817
I."ENST00000370721";1_82452585_82452713-97=129=978//O95490
I."ENST00000370727";1_82418671_82418709-186=39=184//O95490
I."ENST00000370727";1_82446479_82446523-92=45=169//O97817
I."ENST00000370728";1_82452585_82452713-97=129=2032//O95490
I."ENST00000509896";4_62894573_62894599-92=27=169//Q80TS3
I."ENST00000422819";6_109621434_109621572-166=139=154//A2VCL2
I."ENST00000590409";19_56309595_56309670-171=76=168//P59045
I."ENST00000443188";19_56329270_56329602-1570=333=132//P59045
I."ENST00000589093";19_56319219_56319380-168=162=1570//P59045
I."ENST00000362010";3_157031410_157031544-118=135=140//Q14D04
I."ENST00000337334";14_51344670_51344797-119=128=103//Q7Z5M8
I."ENST00000448023";16_3598670_3598753-84=84=84//Q7RTR2
I."ENST00000470549";3_137947760_137947852-98=93=81//Q8IUR7
I."ENST00000522773";19_48736529_48736661-41=133=141//Q9Y2G2
I."ENST00000394125";9_127975649_127975801-158=153=162//Q7Z6M1
I."ENST00000434074";11_46686399_46686509-94=111=137//O75143
I."ENST00000373281";9_130496578_130496843-2036=266=175//Q8N2E6
I."ENST00000437259";9_140348183_140348272-125=90=53//Q6X4W1
I."ENST00000371473";9_140349691_140349759-53=69=6//Q6X4W1
I."ENST00000371473";9_140350081_140350086-69=6=76//Q6X4W1
I."ENST00000335450";2_158406674_158406904-168=231=231//Q8NER5
I."ENST00000409680";2_158412605_158412844-231=240=231//Q8NER5
I."ENST00000436047";7_139717471_139717633-138=163=299//P24557
I."ENST00000539270";12_28724150_28724196-68=47=99//Q5RCA7
I."ENST00000334433";10_123903087_123903221-126=135=137//O95359
I."ENST00000593998";19_8434103_8434216-118=114=96//Q9BY76
I."ENST00000440111";9_135800974_135801126-145=153=104//Q92574
